Nro.,SEDE DEPARTAMENTAL,SUBSEDE DEPARTAMENTAL,PERSONAL A CONTRATAR,PERSONAL A CAPACITAR
21,ANCASH - HUARAZ,"SIHUAS: (SIHUAS, ACOBAMBA, ALFONSO UGARTE, CASHAPAMPA, CHINGALPO, HUAYLLABAMBA, QUICHES, RAGASH, SAN JUAN, SICSIBAMBA / PROVINCIA CORONGO: CORONGO, ACO, BAMBAS, CUSCA, LA PAMPA, YANAC, YUPAN / PROVINCIA POMABAMBA: POMABAMBA, HUAYLLAN, PAROBAMBA, QUINUABAMBA)",90,117
22,ANCASH - HUARAZ,"YUNGAY: (PROVINCIA YUNGAY: YUNGAY, CASCAPARA, MANCOS, MATACOTO, RANRAHIRCA, SHUPLUY, YANAMA )",60,78
23,APURIMAC,"ABANCAY: (PROVINCIA ABANCAY: ABANCAY, CHACOCHE, CIRCA, CURAHUASI, HUANIPACA, LAMBRAMA, PICHIRHUA, SAN PEDRO DE CACHORA, TAMBURCO )",128,167
24,APURIMAC,"ANDAHUAYLAS: (PROVINCIA ANDAHUAYLAS: ANDAHUAYLAS, ANDARAPA, CHIARA, HUANCARAMA, HUANCARAY, HUAYANA, KISHUARA, PACOBAMBA, PACUCHA, PAMPACHIRI, POMACOCHA, SAN ANTONIO DE CACHI, SAN JERONIMO, SAN MIGUEL DE CHACCRAMPA, SANTA MARIA DE CHICMO, TALAVERA, TUMAY HUARACA, TURPO, KAQUIABAMBA, JOSE MARIA ARGUEDAS )",176,229
25,APURIMAC,"AYMARAES: (PROVINCIA AYMARAES: CHALHUANCA, CAPAYA, CARAYBAMBA, CHAPIMARCA, COLCABAMBA, COTARUSE, HUAYLLO, JUSTO APU SAHUARAURA, LUCRE, POCOHUANCA, SAN JUAN DE CHACÑA, SAÑAYCA, SORAYA, TAPAIRIHUA, TINTAY, TORAYA, YANACA / PROVINCIA ANTABAMBA: ANTABAMBA, EL ORO, HUAQUIRCA, JUAN ESPINOZA MEDRANO, OROPESA, PACHACONAS, SABAINO / PROVINCIA GRAU: MAMARA, TURPAY)",80,104
26,APURIMAC,"CHINCHEROS: (PROVINCIA CHINCHEROS: ANCO_HUALLO, CHINCHEROS, COCHARCAS, HUACCANA, OCOBAMBA, ONGOY, URANMARCA, RANRACANCHA, ROCCHACC, EL PORVENIR, LOS CHANKAS, AHUAYRO )",72,94
27,APURIMAC,"COTABAMBAS: (PROVINCIA COTABAMBAS: TAMBOBAMBA, COTABAMBAS, COYLLURQUI, HAQUIRA, MARA, CHALLHUAHUACHO / PROVINCIA GRAU: GAMARRA)",94,122
28,APURIMAC,"GRAU: (PROVINCIA GRAU: CHUQUIBAMBILLA, CURPAHUASI, HUAYLLATI, MICAELA BASTIDAS, PATAYPAMPA, PROGRESO, SAN ANTONIO, SANTA ROSA, VILCABAMBA, VIRUNDO, CURASCO)",28,37
29,AREQUIPA,"AREQUIPA 1: (PROVINCIA AREQUIPA: AREQUIPA, YANAHUARA)",56,73
30,AREQUIPA,AREQUIPA 2: (PROVINCIA AREQUIPA: ALTO SELVA ALEGRE),64,84
31,AREQUIPA,"AREQUIPA 3: (PROVINCIA AREQUIPA: MARIANO MELGAR, MIRAFLORES / PROVINCIA CAYLLOMA: SAN ANTONIO DE CHUCA / PROVINCIA CONDESUYOS: CAYARANI)",100,130
32,AREQUIPA,"AREQUIPA 4: (PROVINCIA AREQUIPA: PAUCARPATA, CHIGUATA, SAN JUAN DE TARUCANI)",98,128
33,AREQUIPA,"AREQUIPA 5: (PROVINCIA AREQUIPA: JOSE LUIS BUSTAMANTE Y RIVERO, CHARACATO, SABANDIA )",72,94
34,AREQUIPA,"AREQUIPA 6: (PROVINCIA AREQUIPA: SOCABAYA, MOLLEBAYA, POCSI, POLOBAYA, QUEQUEÑA, YARABAMBA )",84,110
35,AREQUIPA,"AREQUIPA 7: (PROVINCIA AREQUIPA: JACOBO HUNTER, SACHACA, TIABAYA, UCHUMAYO )",76,99
36,AREQUIPA,"AREQUIPA 8: (PROVINCIA AREQUIPA: LA JOYA, SAN JUAN DE SIGUAS, SANTA ISABEL DE SIGUAS, SANTA RITA DE SIGUAS, VITOR )",84,110
37,AREQUIPA,"AREQUIPA 9: (PROVINCIA AREQUIPA: YURA / PROVINCIA CAYLLOMA: HUANCA, LLUTA )",96,125
38,AREQUIPA,AREQUIPA 10: (PROVINCIA AREQUIPA: CAYMA),74,96
39,AREQUIPA,AREQUIPA 11: (PROVINCIA AREQUIPA: CERRO COLORADO),172,224
40,AREQUIPA,"CAMANA: (PROVINCIA CAMANA: CAMANA, JOSE MARIA QUIMPER, MARIANO NICOLAS VALCARCEL, MARISCAL CACERES, NICOLAS DE PIEROLA, OCOÑA, QUILCA, SAMUEL PASTOR / PROVINCIA CONDESUYOS: RIO GRANDE )",76,99
41,AREQUIPA,"CARAVELI: (PROVINCIA CARAVELI: CHALA, CARAVELI, ACARI, ATICO, ATIQUIPA, BELLA UNION, CAHUACHO, CHAPARRA, HUANUHUANU, JAQUI, LOMAS, QUICACHA, YAUCA )",60,78
42,AREQUIPA,"CASTILLA: (PROVINCIA CASTILLA: APLAO, ANDAGUA, AYO, CHACHAS, CHILCAYMARCA, HUANCARQUI, MACHAGUAY, ORCOPAMPA, PAMPACOLCA, TIPAN, UÑON, URACA, VIRACO / PROVINCIA CONDESUYOS: CHUQUIBAMBA, ANDARAY, CHICHAS, IRAY, SALAMANCA, YANAQUIHUA )",64,84
43,AREQUIPA,"CAYLLOMA: (PROVINCIA CAYLLOMA: MAJES, CHIVAY, ACHOMA, CABANACONDE, CALLALLI, CAYLLOMA, COPORAQUE, HUAMBO, ICHUPAMPA, LARI, MACA, MADRIGAL, SIBAYO, TAPAY, TISCO, TUTI, YANQUE / PROVINCIA CASTILLA: CHOCO )",152,198
44,AREQUIPA,"ISLAY: (PROVINCIA ISLAY: MOLLENDO, COCACHACRA, DEAN VALDIVIA, ISLAY, MEJIA, PUNTA DE BOMBON )",58,76
45,AREQUIPA,"LA UNION: (PROVINCIA LA UNION: COTAHUASI, ALCA, CHARCANA, HUAYNACOTAS, PAMPAMARCA, PUYCA, QUECHUALLA, SAYLA, TAURIA, TOMEPAMPA, TORO )",28,37
46,AYACUCHO,"HUAMANGA 1: ( PROVINCIA HUAMANGA: AYACUCHO, SAN JOSE DE TICLLAS, SANTIAGO DE PISCHA, SOCOS, VINCHOS / PROVINCIA VICTOR FAJARDO: VILCANCHOS /PROVINCIA CANGALLO: PARAS, TOTOS )",140,182
47,AYACUCHO,"CANGALLO: (PROVINCIA CANGALLO: CANGALLO, CHUSCHI, LOS MOROCHUCOS, MARIA PARADO DE BELLIDO / PROVINCIA VICTOR FAJARDO: HUANCAPI, ALCAMENCA, APONGO, ASQUIPATA, CANARIA, CAYARA, COLCA, HUAMANQUIQUIA, HUANCARAYLLA, HUAYA, SARHUA )",84,110
48,AYACUCHO,"HUAMANGA 2: (PROVINCIA HUAMANGA: SAN JUAN BAUTISTA, PACAYCASA, QUINUA, JESUS NAZARENO, ANDRES AVELINO CACERES DORREGARAY )",92,120
49,AYACUCHO,"HUAMANGA 3: (PROVINCIA HUAMANGA: CARMEN ALTO, ACOCRO, ACOS VINCHOS, CHIARA, OCROS, TAMBILLO )",80,104
50,AYACUCHO,"HUANTA: (PROVINCIA HUANTA: HUANTA, AYAHUANCO, HUAMANGUILLA, IGUAIN, LURICOCHA, SANTILLANA, SIVIA, LLOCHEGUA, CANAYRE, UCHURACCAY, PUCACOLPA, CHACA, PUTIS )",140,182
51,AYACUCHO,"LA MAR: (PROVINCIA LA MAR: SAN MIGUEL, ANCO, AYNA, CHILCAS, CHUNGUI, LUIS CARRANZA, SANTA ROSA, TAMBO, SAMUGARI, ANCHIHUAY, ORONCCOY, UNION PROGRESO, RIO MAGDALENA, NINABAMBA, PATIBAMBA )",108,141
52,AYACUCHO,"LUCANAS: (PROVINCIA LUCANAS: PUQUIO, AUCARA, CABANA, CARMEN SALCEDO, CHAVIÑA, CHIPAO, LUCANAS, SAISA, SAN CRISTOBAL, SAN JUAN, SAN PEDRO, SANCOS, SANTA ANA DE HUAYCAHUACHO, SANTA LUCIA /PROVINCIA HUANCA SANCOS: SANCOS, CARAPO, SACSAMARCA, SANTIAGO DE LUCANAMARCA)",84,110
53,AYACUCHO,"PARINACOCHAS: (PROVINCIA PARINACOCHAS: CORACORA, CHUMPI, CORONEL CASTAÑEDA, PACAPAUSA, PULLO, PUYUSCA, SAN FRANCISCO DE RAVACAYCO, UPAHUACHO / PROVINCIA PAUCAR DEL SARA SARA: PAUSA, COLTA, CORCULLA, LAMPA, MARCABAMBA, OYOLO, PARARCA, SAN JAVIER DE ALPABAMBA, SAN JOSE DE USHUA, SARA SARA )",70,91
54,AYACUCHO,"VILCAS HUAMAN: (PROVINCIA SUCRE: QUEROBAMBA, BELEN, CHALCOS, CHILCAYOC, HUACAÑA, MORCOLLA, PAICO, SAN PEDRO DE LARCAY, SAN SALVADOR DE QUIJE, SANTIAGO DE PAUCARAY, SORAS / PROVINCIA VILCAS HUAMAN: VILCAS HUAMAN, ACCOMARCA, CARHUANCA, CONCEPCION, HUAMBALPA, INDEPENDENCIA, SAURAMA, VISCHONGO )",80,104
55,CAJAMARCA,CAJAMARCA 1: (PROVINCIA CAJAMARCA: CAJAMARCA ),172,224
56,CAJAMARCA,"CAJABAMBA: (PROVINCIA CAJABAMBA: CAJABAMBA, CACHACHI, CONDEBAMBA, SITACOCHA )",100,130
57,CAJAMARCA,"CAJAMARCA 2: (PROVINCIA CAJAMARCA: LOS BAÑOS DEL INCA, ASUNCION, CHETILLA, COSPAN, ENCAÑADA, JESUS, LLACANORA, MAGDALENA, MATARA, NAMORA, SAN JUAN )",192,250
58,CAJAMARCA,"CELENDIN: (PROVINCIA CELENDIN: CELENDIN, CHUMUCH, CORTEGANA, HUASMIN, JORGE CHAVEZ, JOSE GALVEZ, MIGUEL IGLESIAS, OXAMARCA, SOROCHUCO, SUCRE, UTCO, LA LIBERTAD DE PALLAN / PROVINCIA BOLIVAR: BOLIVAR, LONGOTEA, UCHUMARCA, UCUNCHA )",132,172
59,CAJAMARCA,"CHOTA: (PROVINCIA CHOTA: CHOTA, ANGUIA, CHADIN, CHIGUIRIP, CHIMBAN, CHOROPAMPA, COCHABAMBA, CONCHAN, HUAMBOS, LAJAS, LLAMA, MIRACOSTA, PACCHA, PION, QUEROCOTO, SAN JUAN DE LICUPIS, TACABAMBA, TOCMOCHE, CHALAMARCA )",224,292
60,CAJAMARCA,"CONTUMAZA: (PROVINCIA CONTUMAZA: CHILETE, CONTUMAZA, CUPISNIQUE, GUZMANGO, SAN BENITO, SANTA CRUZ DE TOLED, TANTARICA, YONAN )",44,58
61,CAJAMARCA,"CUTERVO: (PROVINCIA CUTERVO: CUTERVO, CALLAYUC, CHOROS, CUJILLO, LA RAMADA, PIMPINGOS, QUEROCOTILLO, SAN ANDRES DE CUTERVO, SAN JUAN DE CUTERVO, SAN LUIS DE LUCMA, SANTA CRUZ, SANTO DOMINGO DE LA CAPILLA, SANTO TOMAS, SOCOTA, TORIBIO CASANOVA )",168,219
62,CAJAMARCA,"HUALGAYOC: (PROVINCIA HUALGAYOC: BAMBAMARCA, CHUGUR, HUALGAYOC )",120,156
63,CAJAMARCA,"JAEN: (PROVINCIA JAEN: JAEN, BELLAVISTA, CHONTALI, COLASAY, HUABAL, LAS PIRIAS, POMAHUACA, PUCARA, SALLIQUE, SAN FELIPE, SAN JOSE DEL ALTO, SANTA ROSA )",204,266
64,CAJAMARCA,"SAN IGNACIO: (PROVINCIA SAN IGNACIO: SAN IGNACIO, CHIRINOS, HUARANGO, LA COIPA, NAMBALLE, SAN JOSE DE LOURDES, TABACONAS )",156,203
65,CAJAMARCA,"SAN MARCOS: (PROVINCIA SAN MARCOS: PEDRO GALVEZ, CHANCAY, EDUARDO VILLANUEVA, GREGORIO PITA, ICHOCAN, JOSE MANUEL QUIROZ, JOSE SABOGAL )",76,99
66,CAJAMARCA,"SAN MIGUEL: (PROVINCIA SAN MIGUEL: SAN MIGUEL, BOLIVAR, CALQUIS, CATILLUC, EL PRADO, LLAPA, NANCHOC, NIEPOS, SAN GREGORIO, SAN SILVESTRE DE COCHAN, TONGOD, UNION AGUA BLANCA )",76,99
67,CAJAMARCA,"SAN PABLO: (PROVINCIA SAN PABLO: SAN PABLO, SAN BERNARDINO, SAN LUIS, TUMBADEN )",36,47
68,CAJAMARCA,"SANTA CRUZ: (PROVINCIA SANTA CRUZ: SANTA CRUZ, ANDABAMBA, CATACHE, CHANCAYBAÑOS, LA ESPERANZA, NINABAMBA, PULAN, SAUCEPAMPA, SEXI, UTICYACU, YAUYUCAN )",52,68
69,CALLAO,"CALLAO 1: (PROVINCIA CALLAO: CALLAO, LA PUNTA )",256,333
70,CALLAO,CALLAO 2: (PROVINCIA CALLAO: VENTANILLA ),196,255
71,CALLAO,CALLAO 3: (PROVINCIA CALLAO: MI PERU ),30,39
72,CALLAO,CALLAO 4: (PROVINCIA CALLAO: CARMEN DE LA LEGUA REYNOSO ),26,34
73,CALLAO,CALLAO 5: (PROVINCIA CALLAO: BELLAVISTA ),46,60
74,CALLAO,CALLAO 6: (PROVINCIA CALLAO: LA PERLA ),38,50
75,CUSCO,"CUSCO 1: (PROVINCIA CUSCO: CUSCO, POROY )",84,110
76,CUSCO,"ACOMAYO: (PROVINCIA ACOMAYO: ACOMAYO, ACOPIA, ACOS, MOSOC LLACTA, POMACANCHI, SANGARARA )",32,42
77,CUSCO,"ANTA: (PROVINCIA ANTA: ANTA, ANCAHUASI, CACHIMAYO, CHINCHAYPUJIO, HUAROCONDO, LIMATAMBO, MOLLEPATA, PUCYURA, ZURITE )",72,94
78,CUSCO,"CALCA: (PROVINCIA CALCA: CALCA, COYA, LAMAY, LARES, PISAC, SAN SALVADOR, TARAY, YANATILE )",80,104
79,CUSCO,"CANAS: (PROVINCIA CANAS: YANAOCA, CHECCA, KUNTURKANKI, LANGUI, LAYO, PAMPAMARCA, QUEHUE, TUPAC AMARU )",64,84
80,CUSCO,"CANCHIS: (PROVINCIA CANCHIS: SICUANI, CHECACUPE, COMBAPATA, MARANGANI, PITUMARCA, SAN PABLO, SAN PEDRO, TINTA )",112,146
81,CUSCO,"CHUMBIVILCAS: (PROVINCIA CHUMBIVILCAS: SANTO TOMAS, CAPACMARCA, CHAMACA, COLQUEMARCA, LIVITACA, LLUSCO, QUIÑOTA, VELILLE )",120,156
82,CUSCO,CUSCO 2: (PROVINCIA CUSCO: WANCHAQ ),44,58
83,CUSCO,CUSCO 3: (PROVINCIA CUSCO: SAN SEBASTIAN ),104,136
84,CUSCO,"CUSCO 4: (PROVINCIA CUSCO: SAN JERONIMO, SAYLLA )",64,84
85,CUSCO,"CUSCO 5: (PROVINCIA CUSCO: SANTIAGO, CCORCA /PROVINCIA ACOMAYO: RONDOCAN / PROVINCIA PARURO: PARURO, ACCHA, CCAPI, COLCHA, HUANOQUITE, OMACHA, PACCARITAMBO, PILLPINTO, YAURISQUE)",116,151
86,CUSCO,"ESPINAR: (PROVINCIA ESPINAR: ESPINAR, CONDOROMA, COPORAQUE, OCORURO, PALLPATA, PICHIGUA, SUYCKUTAMBO, ALTO PICHIGUA )",104,136
87,CUSCO,"LA CONVENCION 1: (PROVINCIA LA CONVENCION: SANTA ANA, ECHARATE, HUAYOPATA, MARANURA, OCOBAMBA, QUELLOUNO, SANTA TERESA, VILCABAMBA, INKAWASI, MEGANTONI )",164,214
88,CUSCO,"LA CONVENCION 2: (PROVINCIA LA CONVENCION: KIMBIRI, PICHARI, VILLA VIRGEN, VILLA KINTIARINA, KUMPIRUSHIATO, CIELO PUNCO, MANITEA, UNION ASHANINKA )",72,94
89,CUSCO,"PAUCARTAMBO: (PROVINCIA PAUCARTAMBO: PAUCARTAMBO, CAICAY, CHALLABAMBA, COLQUEPATA, HUANCARANI, KOSÑIPATA )",60,78
90,CUSCO,"QUISPICANCHI: (PROVINCIA QUISPICANCHI: URCOS, ANDAHUAYLILLAS, CAMANTI, CCARHUAYO, CCATCA, CUSIPATA, HUARO, LUCRE, MARCAPATA, OCONGATE, OROPESA, QUIQUIJANA )",108,141
91,CUSCO,"URUBAMBA: (PROVINCIA URUBAMBA: URUBAMBA, CHINCHERO, HUAYLLABAMBA, MACHUPICCHU, MARAS, OLLANTAYTAMBO, YUCAY )",72,94
92,HUANCAVELICA,"HUANCAVELICA: (PROVINCIA HUANCAVELICA: HUANCAVELICA, ACOBAMBILLA, ACORIA, CONAYCA, CUENCA, HUACHOCOLPA, HUAYLLAHUARA, IZCUCHACA, LARIA, MANTA, MARISCAL CACERES, MOYA, NUEVO OCCORO, PALCA, PILCHACA, VILCA, YAULI, ASCENSION, HUANDO )",148,193
93,HUANCAVELICA,"ACOBAMBA: (PROVINCIA ACOBAMBA: ACOBAMBA, ANDABAMBA, ANTA, CAJA, MARCAS, PAUCARA, POMACOCHA, ROSARIO / PROVINCIA CHURCAMPA: CHURCAMPA, ANCO, CHINCHIHUASI, EL CARMEN, LA MERCED, LOCROJA, PAUCARBAMBA, SAN MIGUEL DE MAYOCC, SAN PEDRO DE CORIS, PACHAMARCA, COSME )",124,161
94,HUANCAVELICA,"ANGARAES: (PROVINCIA ANGARAES: LIRCAY, ANCHONGA, CALLANMARCA, CCOCHACCASA, CHINCHO, CONGALLA, HUANCA-HUANCA, HUAYLLAY GRANDE, JULCAMARCA, SAN ANTONIO DE ANTAPARCO, SANTO TOMAS DE PATA, SECCLLA )",79,103
95,HUANCAVELICA,"CASTROVIRREYNA: (PROVINCIA CASTROVIRREYNA: CASTROVIRREYNA, ARMA, AURAHUA, CAPILLAS, CHUPAMARCA, COCAS, HUACHOS, HUAMATAMBO, MOLLEPAMPA, SAN JUAN, SANTA ANA, TANTARA, TICRAPO )",40,52
96,HUANCAVELICA,"TAYACAJA: (PROVINCIA TAYACAJA: PAMPAS, ACOSTAMBO, ACRAQUIA, AHUAYCHA, COLCABAMBA, DANIEL HERNANDEZ, HUACHOCOLPA, HUARIBAMBA, ÑAHUIMPUQUIO, PAZOS, QUISHUAR, SALCABAMBA, SALCAHUASI, SAN MARCOS DE ROCCHAC, SURCUBAMBA, TINTAY PUNCU, QUICHUAS, ANDAYMARCA, ROBLE, PICHOS, SANTIAGO DE TUCUMA, LAMBRAS, COCHABAMBA )",136,177
97,HUANUCO,"HUANUCO 1: (PROVINCIA HUANUCO: HUANUCO, MARGOS, QUISQUI (KICHKI), SAN PEDRO DE CHAULAN, YARUMAYO, YACUS )",96,125
98,HUANUCO,"AMBO: (PROVINCIA AMBO: AMBO, CAYNA, COLPAS, CONCHAMARCA, HUACAR, SAN FRANCISCO, SAN RAFAEL, TOMAY KICHWA )",76,99
99,HUANUCO,"DOS DE MAYO: (PROVINCIA DOS DE MAYO: LA UNION, CHUQUIS, MARIAS, PACHAS, QUIVILLA, RIPAN, SHUNQUI, SILLAPATA, YANAS )",48,63
100,HUANUCO,"HUAMALIES: (/ PROVINCIA HUAMALIES: LLATA, ARANCAY, CHAVIN DE PARIARCA, JACAS GRANDE, JIRCAN, MIRAFLORES, PUNCHAO, PUÑOS, SINGA, TANTAMAYO / PROVINCIA HUACAYBAMBA: HUACAYBAMBA, CANCHABAMBA, COCHABAMBA, PINRA )",80,104
101,HUANUCO,"HUANUCO 2: (PROVINCIA HUANUCO: SANTA MARIA DEL VALLE, CHINCHAO, CHURUBAMBA, SAN PABLO DE PILLAO )",96,125
102,HUANUCO,"HUANUCO 3: (PROVINCIA HUANUCO: AMARILIS, SAN FRANCISCO DE CAYRAN, PILLCO MARCA )",108,141
103,HUANUCO,"LEONCIO PRADO 1: (PROVINCIA LEONCIO PRADO: RUPA-RUPA, DANIEL ALOMIA ROBLES, HERMILIO VALDIZAN, LUYANDO, MARIANO DAMASO BERAUN, CASTILLO GRANDE, PUEBLO NUEVO, SANTO DOMINGO DE ANDA /PROVINCIA HUAMALIES: MONZON)",128,167
104,HUANUCO,"LEONCIO PRADO 2: (PROVINCIA LEONCIO PRADO: JOSE CRESPO Y CASTILLO, PUCAYACU / PROVINCIA MARAÑON: HUACRACHUCO, SAN BUENAVENTURA, LA MORADA, SANTA ROSA DE ALTO YANAJANCA )",60,78
105,HUANUCO,"PACHITEA: (PROVINCIA PACHITEA: PANAO, CHAGLLA, MOLINO, UMARI )",76,99
106,HUANUCO,"PUERTO INCA: (PROVINCIA PUERTO INCA: CODO DEL POZUZO, PUERTO INCA, HONORIA, TOURNAVISTA, YUYAPICHIS )",52,68
107,HUANUCO,"YAROWILCA: (PROVINCIA YAROWILCA: CHAVINILLO, CAHUAC, CHACABAMBA, APARICIO POMARES, JACAS CHICO, OBAS, PAMPAMARCA, CHORAS /PROVINCIA LAURICOCHA: JESUS, BAÑOS, JIVIA, QUEROPALCA, RONDOS, SAN FRANCISCO DE ASIS, SAN MIGUEL DE CAURI)",84,110
108,ICA,ICA 1: (PROVINCIA ICA: ICA ),116,151
109,ICA,"CHINCHA 1: (PROVINCIA CHINCHA: CHINCHA ALTA, ALTO LARAN, CHINCHA BAJA, EL CARMEN, SAN JUAN DE YANAC, SAN PEDRO DE HUACARPANA, SUNAMPE, TAMBO DE MORA )",112,146
110,ICA,"CHINCHA 2: (PROVINCIA CHINCHA: PUEBLO NUEVO, CHAVIN, GROCIO PRADO )",60,78
111,ICA,"ICA 2: (PROVINCIA ICA: SALAS, SAN JUAN BAUTISTA, SUBTANJALLA )",66,86
112,ICA,"ICA 3: (PROVINCIA ICA: PARCONA, LA TINGUIÑA, SAN JOSE DE LOS MOLINOS / PROVINCIA HUAYTARA: AYAVI, SAN FRANCISCO DE SANGAYAICO, SANTO DOMINGO DE CAPILLAS, TAMBO)",76,99
